Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,103,00:00:03.437,3.437,103,00:00:03.437,3.437
2,104,00:00:03.437,3.437,200,00:00:06.674,6.674,97,00:00:03.237,3.237
3,201,00:00:06.674,6.674,258,00:00:08.609,8.609,58,00:00:01.935,1.935
4,259,00:00:08.609,8.609,309,00:00:10.311,10.311,51,00:00:01.702,1.702
5,310,00:00:10.311,10.311,366,00:00:12.213,12.213,57,00:00:01.902,1.902
6,367,00:00:12.213,12.213,427,00:00:14.248,14.248,61,00:00:02.035,2.035
7,428,00:00:14.248,14.248,505,00:00:16.851,16.851,78,00:00:02.603,2.603
8,506,00:00:16.851,16.851,536,00:00:17.885,17.885,31,00:00:01.034,1.034
9,537,00:00:17.885,17.885,786,00:00:26.228,26.228,250,00:00:08.342,8.342
10,787,00:00:26.228,26.228,873,00:00:29.131,29.131,87,00:00:02.903,2.903
11,874,00:00:29.131,29.131,1122,00:00:37.439,37.439,249,00:00:08.309,8.309
12,1123,00:00:37.439,37.439,1166,00:00:38.908,38.908,44,00:00:01.468,1.468
13,1167,00:00:38.908,38.908,1208,00:00:40.309,40.309,42,00:00:01.401,1.401
14,1209,00:00:40.309,40.309,1500,00:00:50.053,50.053,292,00:00:09.744,9.744
15,1501,00:00:50.053,50.053,1589,00:00:53.022,53.022,89,00:00:02.970,2.970
16,1590,00:00:53.022,53.022,1703,00:00:56.826,56.826,114,00:00:03.804,3.804
17,1704,00:00:56.826,56.826,1882,00:01:02.799,62.799,179,00:00:05.973,5.973
18,1883,00:01:02.799,62.799,1957,00:01:05.302,65.302,75,00:00:02.503,2.503
19,1958,00:01:05.302,65.302,2068,00:01:09.006,69.006,111,00:00:03.704,3.704
20,2069,00:01:09.006,69.006,2476,00:01:22.620,82.620,408,00:00:13.614,13.614
21,2477,00:01:22.620,82.620,2591,00:01:26.458,86.458,115,00:00:03.837,3.837
22,2592,00:01:26.458,86.458,2637,00:01:27.993,87.993,46,00:00:01.535,1.535
23,2638,00:01:27.993,87.993,2710,00:01:30.428,90.428,73,00:00:02.436,2.436
24,2711,00:01:30.428,90.428,2807,00:01:33.665,93.665,97,00:00:03.237,3.237
25,2808,00:01:33.665,93.665,2863,00:01:35.534,95.534,56,00:00:01.869,1.869
26,2864,00:01:35.534,95.534,3000,00:01:40.105,100.105,137,00:00:04.571,4.571
27,3001,00:01:40.105,100.105,3132,00:01:44.510,104.510,132,00:00:04.405,4.405
28,3133,00:01:44.510,104.510,3172,00:01:45.845,105.845,40,00:00:01.335,1.335
29,3173,00:01:45.845,105.845,3343,00:01:51.551,111.551,171,00:00:05.706,5.706
30,3344,00:01:51.551,111.551,3377,00:01:52.685,112.685,34,00:00:01.135,1.135
31,3378,00:01:52.685,112.685,3487,00:01:56.356,116.356,110,00:00:03.671,3.671
32,3488,00:01:56.356,116.356,3540,00:01:58.124,118.124,53,00:00:01.769,1.769
33,3541,00:01:58.124,118.124,3566,00:01:58.992,118.992,26,00:00:00.868,0.868
34,3567,00:01:58.992,118.992,3640,00:02:01.461,121.461,74,00:00:02.469,2.469
35,3641,00:02:01.461,121.461,3662,00:02:02.195,122.195,22,00:00:00.734,0.734
36,3663,00:02:02.195,122.195,3698,00:02:03.396,123.396,36,00:00:01.201,1.201
37,3699,00:02:03.396,123.396,3738,00:02:04.731,124.731,40,00:00:01.335,1.335
38,3739,00:02:04.731,124.731,3761,00:02:05.499,125.499,23,00:00:00.767,0.767
39,3762,00:02:05.499,125.499,3871,00:02:09.169,129.169,110,00:00:03.671,3.671
40,3872,00:02:09.169,129.169,4094,00:02:16.610,136.610,223,00:00:07.441,7.441
41,4095,00:02:16.610,136.610,4148,00:02:18.412,138.412,54,00:00:01.802,1.802
42,4149,00:02:18.412,138.412,4277,00:02:22.717,142.717,129,00:00:04.305,4.305
43,4278,00:02:22.717,142.717,4403,00:02:26.921,146.921,126,00:00:04.204,4.204
44,4404,00:02:26.921,146.921,4448,00:02:28.423,148.423,45,00:00:01.502,1.502
45,4449,00:02:28.423,148.423,4538,00:02:31.426,151.426,90,00:00:03.003,3.003
46,4539,00:02:31.426,151.426,4664,00:02:35.630,155.630,126,00:00:04.204,4.204
47,4665,00:02:35.630,155.630,4755,00:02:38.667,158.667,91,00:00:03.037,3.037
48,4756,00:02:38.667,158.667,4884,00:02:42.971,162.971,129,00:00:04.305,4.305
49,4885,00:02:42.971,162.971,5062,00:02:48.911,168.911,178,00:00:05.940,5.940
50,5063,00:02:48.911,168.911,5130,00:02:51.180,171.180,68,00:00:02.269,2.269
51,5131,00:02:51.180,171.180,5207,00:02:53.749,173.749,77,00:00:02.569,2.569
52,5208,00:02:53.749,173.749,5249,00:02:55.151,175.151,42,00:00:01.401,1.401
53,5250,00:02:55.151,175.151,5301,00:02:56.886,176.886,52,00:00:01.735,1.735
54,5302,00:02:56.886,176.886,5418,00:03:00.790,180.790,117,00:00:03.904,3.904
55,5419,00:03:00.790,180.790,5518,00:03:04.127,184.127,100,00:00:03.337,3.337
56,5519,00:03:04.127,184.127,5555,00:03:05.362,185.362,37,00:00:01.235,1.235
57,5556,00:03:05.362,185.362,5662,00:03:08.932,188.932,107,00:00:03.570,3.570
58,5663,00:03:08.932,188.932,5749,00:03:11.835,191.835,87,00:00:02.903,2.903
59,5750,00:03:11.835,191.835,5802,00:03:13.604,193.604,53,00:00:01.769,1.769
60,5803,00:03:13.604,193.604,5908,00:03:17.141,197.141,106,00:00:03.537,3.537
61,5909,00:03:17.141,197.141,6048,00:03:21.812,201.812,140,00:00:04.672,4.672
62,6049,00:03:21.812,201.812,6253,00:03:28.653,208.653,205,00:00:06.841,6.841
63,6254,00:03:28.653,208.653,6366,00:03:32.423,212.423,113,00:00:03.771,3.771
64,6367,00:03:32.423,212.423,6539,00:03:38.196,218.196,173,00:00:05.773,5.773
65,6540,00:03:38.196,218.196,6717,00:03:44.136,224.136,178,00:00:05.940,5.940
66,6718,00:03:44.136,224.136,6758,00:03:45.504,225.504,41,00:00:01.368,1.368
67,6759,00:03:45.504,225.504,6829,00:03:47.873,227.873,71,00:00:02.369,2.369
68,6830,00:03:47.873,227.873,6946,00:03:51.777,231.777,117,00:00:03.904,3.904
69,6947,00:03:51.777,231.777,6970,00:03:52.578,232.578,24,00:00:00.801,0.801
70,6971,00:03:52.578,232.578,6993,00:03:53.345,233.345,23,00:00:00.767,0.767
71,6994,00:03:53.345,233.345,7052,00:03:55.314,235.314,59,00:00:01.969,1.969
72,7053,00:03:55.314,235.314,7176,00:03:59.452,239.452,124,00:00:04.138,4.138
73,7177,00:03:59.452,239.452,7306,00:04:03.790,243.790,130,00:00:04.338,4.338
74,7307,00:04:03.790,243.790,7458,00:04:08.862,248.862,152,00:00:05.072,5.072
75,7459,00:04:08.862,248.862,7625,00:04:14.434,254.434,167,00:00:05.573,5.573
76,7626,00:04:14.434,254.434,7719,00:04:17.571,257.571,94,00:00:03.137,3.137
77,7720,00:04:17.571,257.571,7763,00:04:19.039,259.039,44,00:00:01.468,1.468
78,7764,00:04:19.039,259.039,7839,00:04:21.575,261.575,76,00:00:02.536,2.536
79,7840,00:04:21.575,261.575,7893,00:04:23.377,263.377,54,00:00:01.802,1.802
80,7894,00:04:23.377,263.377,7928,00:04:24.545,264.545,35,00:00:01.168,1.168
81,7929,00:04:24.545,264.545,8083,00:04:29.717,269.717,155,00:00:05.172,5.172
82,8084,00:04:29.717,269.717,8636,00:04:48.170,288.170,553,00:00:18.453,18.453
83,8637,00:04:48.170,288.170,8710,00:04:50.639,290.639,74,00:00:02.469,2.469
84,8711,00:04:50.639,290.639,8734,00:04:51.440,291.440,24,00:00:00.801,0.801
85,8735,00:04:51.440,291.440,8796,00:04:53.509,293.509,62,00:00:02.069,2.069
86,8797,00:04:53.509,293.509,8919,00:04:57.613,297.613,123,00:00:04.104,4.104
87,8920,00:04:57.613,297.613,8991,00:05:00.015,300.015,72,00:00:02.403,2.403
88,8992,00:05:00.015,300.015,9032,00:05:01.384,301.384,41,00:00:01.368,1.368
89,9033,00:05:01.384,301.384,9087,00:05:03.219,303.219,55,00:00:01.835,1.835
90,9088,00:05:03.219,303.219,9146,00:05:05.188,305.188,59,00:00:01.969,1.969
91,9147,00:05:05.188,305.188,9245,00:05:08.491,308.491,99,00:00:03.303,3.303
92,9246,00:05:08.491,308.491,9310,00:05:10.660,310.660,65,00:00:02.169,2.169
93,9311,00:05:10.660,310.660,9353,00:05:12.095,312.095,43,00:00:01.435,1.435
94,9354,00:05:12.095,312.095,9392,00:05:13.396,313.396,39,00:00:01.301,1.301
95,9393,00:05:13.396,313.396,9494,00:05:16.800,316.800,102,00:00:03.404,3.404
96,9495,00:05:16.800,316.800,9716,00:05:24.208,324.208,222,00:00:07.408,7.408
97,9717,00:05:24.208,324.208,9913,00:05:30.781,330.781,197,00:00:06.574,6.574
98,9914,00:05:30.781,330.781,10000,00:05:33.684,333.684,87,00:00:02.903,2.903
99,10001,00:05:33.684,333.684,10043,00:05:35.119,335.119,43,00:00:01.435,1.435
100,10044,00:05:35.119,335.119,10180,00:05:39.691,339.691,137,00:00:04.571,4.571
101,10181,00:05:39.691,339.691,10251,00:05:42.060,342.060,71,00:00:02.369,2.369
102,10252,00:05:42.060,342.060,10332,00:05:44.763,344.763,81,00:00:02.703,2.703
103,10333,00:05:44.763,344.763,10462,00:05:49.100,349.100,130,00:00:04.338,4.338
104,10463,00:05:49.100,349.100,10537,00:05:51.603,351.603,75,00:00:02.503,2.503
105,10538,00:05:51.603,351.603,10580,00:05:53.038,353.038,43,00:00:01.435,1.435
106,10581,00:05:53.038,353.038,10731,00:05:58.077,358.077,151,00:00:05.039,5.039
107,10732,00:05:58.077,358.077,11043,00:06:08.487,368.487,312,00:00:10.411,10.411
108,11044,00:06:08.487,368.487,11291,00:06:16.763,376.763,248,00:00:08.275,8.275
109,11292,00:06:16.763,376.763,11440,00:06:21.735,381.735,149,00:00:04.972,4.972
110,11441,00:06:21.735,381.735,11586,00:06:26.607,386.607,146,00:00:04.872,4.872
111,11587,00:06:26.607,386.607,11687,00:06:29.977,389.977,101,00:00:03.370,3.370
112,11688,00:06:29.977,389.977,11958,00:06:39.020,399.020,271,00:00:09.043,9.043
113,11959,00:06:39.020,399.020,12154,00:06:45.560,405.560,196,00:00:06.540,6.540
114,12155,00:06:45.560,405.560,12226,00:06:47.962,407.962,72,00:00:02.403,2.403
115,12227,00:06:47.962,407.962,12254,00:06:48.897,408.897,28,00:00:00.934,0.934
116,12255,00:06:48.897,408.897,12277,00:06:49.664,409.664,23,00:00:00.767,0.767
117,12278,00:06:49.664,409.664,12341,00:06:51.800,411.800,64,00:00:02.136,2.136
118,12342,00:06:51.800,411.800,12390,00:06:53.435,413.435,49,00:00:01.635,1.635
119,12391,00:06:53.435,413.435,12490,00:06:56.772,416.772,100,00:00:03.337,3.337
120,12491,00:06:56.772,416.772,12721,00:07:04.480,424.480,231,00:00:07.708,7.708
121,12722,00:07:04.480,424.480,12833,00:07:08.217,428.217,112,00:00:03.737,3.737
122,12834,00:07:08.217,428.217,12913,00:07:10.886,430.886,80,00:00:02.669,2.669
123,12914,00:07:10.886,430.886,13275,00:07:22.966,442.966,362,00:00:12.079,12.079
124,13276,00:07:22.966,442.966,13346,00:07:25.335,445.335,71,00:00:02.369,2.369
125,13347,00:07:25.335,445.335,13400,00:07:27.137,447.137,54,00:00:01.802,1.802
126,13401,00:07:27.137,447.137,13470,00:07:29.473,449.473,70,00:00:02.336,2.336
127,13471,00:07:29.473,449.473,13546,00:07:32.009,452.009,76,00:00:02.536,2.536
128,13547,00:07:32.009,452.009,13628,00:07:34.745,454.745,82,00:00:02.736,2.736
129,13629,00:07:34.745,454.745,13684,00:07:36.613,456.613,56,00:00:01.869,1.869
130,13685,00:07:36.613,456.613,13745,00:07:38.649,458.649,61,00:00:02.035,2.035
131,13746,00:07:38.649,458.649,13784,00:07:39.950,459.950,39,00:00:01.301,1.301
132,13785,00:07:39.950,459.950,13875,00:07:42.987,462.987,91,00:00:03.037,3.037
133,13876,00:07:42.987,462.987,14178,00:07:53.097,473.097,303,00:00:10.111,10.111
134,14179,00:07:53.097,473.097,14336,00:07:58.370,478.370,158,00:00:05.272,5.272
135,14337,00:07:58.370,478.370,14616,00:08:07.713,487.713,280,00:00:09.343,9.343
136,14617,00:08:07.713,487.713,14666,00:08:09.381,489.381,50,00:00:01.668,1.668
137,14667,00:08:09.381,489.381,14813,00:08:14.286,494.286,147,00:00:04.905,4.905
138,14814,00:08:14.286,494.286,14869,00:08:16.155,496.155,56,00:00:01.869,1.869
139,14870,00:08:16.155,496.155,15171,00:08:26.232,506.232,302,00:00:10.077,10.077
140,15172,00:08:26.232,506.232,15303,00:08:30.637,510.637,132,00:00:04.405,4.405
141,15304,00:08:30.637,510.637,15355,00:08:32.372,512.372,52,00:00:01.735,1.735
142,15356,00:08:32.372,512.372,15442,00:08:35.275,515.275,87,00:00:02.903,2.903
143,15443,00:08:35.275,515.275,15474,00:08:36.343,516.343,32,00:00:01.068,1.068
144,15475,00:08:36.343,516.343,15676,00:08:43.083,523.083,202,00:00:06.740,6.740
145,15677,00:08:43.083,523.083,15734,00:08:45.019,525.019,58,00:00:01.935,1.935
146,15735,00:08:45.019,525.019,15810,00:08:47.555,527.555,76,00:00:02.536,2.536
147,15811,00:08:47.555,527.555,15862,00:08:49.290,529.290,52,00:00:01.735,1.735
148,15863,00:08:49.290,529.290,16123,00:08:57.999,537.999,261,00:00:08.709,8.709
149,16124,00:08:57.999,537.999,16207,00:09:00.802,540.802,84,00:00:02.803,2.803
150,16208,00:09:00.802,540.802,16268,00:09:02.837,542.837,61,00:00:02.035,2.035
151,16269,00:09:02.837,542.837,16328,00:09:04.840,544.840,60,00:00:02.002,2.002
152,16329,00:09:04.840,544.840,16375,00:09:06.408,546.408,47,00:00:01.568,1.568
153,16376,00:09:06.408,546.408,16460,00:09:09.244,549.244,85,00:00:02.836,2.836
154,16461,00:09:09.244,549.244,16495,00:09:10.412,550.412,35,00:00:01.168,1.168
155,16496,00:09:10.412,550.412,16611,00:09:14.283,554.283,116,00:00:03.871,3.871
156,16612,00:09:14.283,554.283,16705,00:09:17.419,557.419,94,00:00:03.137,3.137
157,16706,00:09:17.419,557.419,16750,00:09:18.921,558.921,45,00:00:01.502,1.502
158,16751,00:09:18.921,558.921,16799,00:09:20.556,560.556,49,00:00:01.635,1.635
159,16800,00:09:20.556,560.556,16923,00:09:24.694,564.694,124,00:00:04.138,4.138
160,16924,00:09:24.694,564.694,17242,00:09:35.338,575.338,319,00:00:10.645,10.645
161,17243,00:09:35.338,575.338,17337,00:09:38.508,578.508,95,00:00:03.170,3.170
162,17338,00:09:38.508,578.508,17617,00:09:47.851,587.851,280,00:00:09.343,9.343
163,17618,00:09:47.851,587.851,17700,00:09:50.621,590.621,83,00:00:02.770,2.770
164,17701,00:09:50.621,590.621,17732,00:09:51.689,591.689,32,00:00:01.068,1.068
165,17733,00:09:51.689,591.689,17783,00:09:53.391,593.391,51,00:00:01.702,1.702
166,17784,00:09:53.391,593.391,17869,00:09:56.260,596.260,86,00:00:02.870,2.870
167,17870,00:09:56.260,596.260,18032,00:10:01.699,601.699,163,00:00:05.439,5.439
168,18033,00:10:01.699,601.699,18133,00:10:05.070,605.070,101,00:00:03.370,3.370
169,18134,00:10:05.070,605.070,18183,00:10:06.738,606.738,50,00:00:01.668,1.668
170,18184,00:10:06.738,606.738,18288,00:10:10.242,610.242,105,00:00:03.504,3.504
171,18289,00:10:10.242,610.242,18333,00:10:11.743,611.743,45,00:00:01.502,1.502
172,18334,00:10:11.743,611.743,18399,00:10:13.946,613.946,66,00:00:02.202,2.202
173,18400,00:10:13.946,613.946,18502,00:10:17.383,617.383,103,00:00:03.437,3.437
174,18503,00:10:17.383,617.383,18606,00:10:20.853,620.853,104,00:00:03.470,3.470
175,18607,00:10:20.853,620.853,18669,00:10:22.955,622.955,63,00:00:02.102,2.102
176,18670,00:10:22.955,622.955,18763,00:10:26.092,626.092,94,00:00:03.137,3.137
177,18764,00:10:26.092,626.092,18831,00:10:28.361,628.361,68,00:00:02.269,2.269
178,18832,00:10:28.361,628.361,18923,00:10:31.431,631.431,92,00:00:03.070,3.070
179,18924,00:10:31.431,631.431,19077,00:10:36.569,636.569,154,00:00:05.139,5.139
180,19078,00:10:36.569,636.569,19140,00:10:38.672,638.672,63,00:00:02.102,2.102
181,19141,00:10:38.672,638.672,19304,00:10:44.144,644.144,164,00:00:05.472,5.472
182,19305,00:10:44.144,644.144,19354,00:10:45.812,645.812,50,00:00:01.668,1.668
183,19355,00:10:45.812,645.812,19402,00:10:47.414,647.414,48,00:00:01.602,1.602
184,19403,00:10:47.414,647.414,19524,00:10:51.485,651.485,122,00:00:04.071,4.071
185,19525,00:10:51.485,651.485,19612,00:10:54.421,654.421,88,00:00:02.936,2.936
186,19613,00:10:54.421,654.421,19797,00:11:00.595,660.595,185,00:00:06.173,6.173
187,19798,00:11:00.595,660.595,19860,00:11:02.697,662.697,63,00:00:02.102,2.102
188,19861,00:11:02.697,662.697,19911,00:11:04.399,664.399,51,00:00:01.702,1.702
189,19912,00:11:04.399,664.399,19991,00:11:07.068,667.068,80,00:00:02.669,2.669
190,19992,00:11:07.068,667.068,20115,00:11:11.206,671.206,124,00:00:04.138,4.138
191,20116,00:11:11.206,671.206,20277,00:11:16.611,676.611,162,00:00:05.406,5.406
192,20278,00:11:16.611,676.611,20469,00:11:23.018,683.018,192,00:00:06.407,6.407
193,20470,00:11:23.018,683.018,20524,00:11:24.853,684.853,55,00:00:01.835,1.835
194,20525,00:11:24.853,684.853,20779,00:11:33.362,693.362,255,00:00:08.509,8.509
195,20780,00:11:33.362,693.362,20816,00:11:34.597,694.597,37,00:00:01.235,1.235
196,20817,00:11:34.597,694.597,20848,00:11:35.665,695.665,32,00:00:01.068,1.068
197,20849,00:11:35.665,695.665,20952,00:11:39.135,699.135,104,00:00:03.470,3.470
198,20953,00:11:39.135,699.135,21013,00:11:41.171,701.171,61,00:00:02.035,2.035
199,21014,00:11:41.171,701.171,21087,00:11:43.640,703.640,74,00:00:02.469,2.469
200,21088,00:11:43.640,703.640,21139,00:11:45.375,705.375,52,00:00:01.735,1.735
201,21140,00:11:45.375,705.375,21344,00:11:52.216,712.216,205,00:00:06.841,6.841
202,21345,00:11:52.216,712.216,21539,00:11:58.722,718.722,195,00:00:06.507,6.507
